"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Austria","AUT","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","13031.0315898249","13677.4642130876","13953.9500033393","14438.3566555943","15220.8197176825","15648.5266978249","16416.0054041203","16783.8896871799","17443.704979075","18474.5400142328","19573.8668769248","20483.4532861498","21628.966124242","22561.3704985125","23410.8902742626","23387.7063787301","24501.7493304065","25736.5512059217","25703.1373788812","27126.1781793457","27595.8347588735","27485.8321468879","28018.5408766777","28898.2188508896","28914.8565907991","29623.4341327814","30285.9331896605","30677.5439948851","31643.8089603984","32726.0594259348","33888.9955929164","34707.0712269201","35045.8442923391","34941.143401042","35643.0276843652","36537.9930388237","37346.0074348842","38084.7013777733","39405.4160313155","40727.4849425251","42001.2111626726","42370.9315990366","42859.3293954947","43052.6030729033","43956.5826590614","44637.8564124514","45951.7346927938","47510.2937863859","48053.4830761375","46123.4906889046","46858.0432733717","48065.3167058917","48172.2377048248","47901.3654287376","47922.3398475649","47905.5431541607","48077.8783610298","49129.2336646382","",
"Azerbaijan","AZE","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3118.54658676172","3049.01599483444","2324.4529766324","1760.55465085842","1394.74420894615","1216.07791710291","1219.50934895182","1277.85412406008","1392.36119355104","1482.32977280697","1633.3944354131","1781.24639507096","1955.41315045621","2158.00717069154","2357.39602637373","2949.44281843844","3923.65815354896","4851.17690871859","5262.10135550006","5639.001689405","5842.80578358576","5770.96970270605","5820.0798474712","6078.32064851423","6122.98048925179","6117.03086236702","5861.51196206606","5805.13453500275","",
"Burundi","BDI","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","214.302672456135","181.357919649969","194.103337904041","198.275545932597","206.449080858731","209.965870631469","214.436958315145","237.939598721281","231.349821815999","222.89717715466","265.434437615881","268.852108073954","248.89025474052","263.475827467641","258.662609529319","256.71432962702","272.053333180694","296.785608182982","287.040147628115","284.581253547715","280.17562230117","306.338411783388","295.403212452587","298.434946527602","290.885157184721","316.117300857264","316.987428262339","324.630672677736","331.12297600938","326.434712438494","329.412512172723","337.969699625986","334.201653531767","307.361160150913","290.544492798458","263.474592491334","239.224622516743","232.686806556098","240.813816925075","234.866469775993","228.424206734085","227.604114881242","231.174919320134","221.3986877151","224.689303026807","219.356176008148","223.638321579441","223.658433806654","226.744348512464","227.715155985878","231.795536921138","233.768044787226","236.926931622013","241.330842082072","244.148862656265","227.553687837106","219.206585080753","213.40560324233","",
"Belgium","BEL","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","13193.3149413605","13804.1993476581","14465.9774292722","14983.0426057267","15874.4046901559","16291.0196565313","16692.0169886591","17241.4473706698","17894.0438026985","19026.4296503728","20070.5479732956","20832.5240820801","21850.0028718164","23171.3793566533","24153.0991616343","23609.9371038687","24900.0171083108","25025.0098811635","25712.1941187834","26290.4941793372","27428.6118861353","27352.7295955632","27522.9536289161","27610.9754180225","28292.3925990391","28751.1590966802","29264.7899111196","29914.3154726966","31227.7917487716","32193.9793055008","33105.1552433006","33586.9583104952","33962.9863856718","33505.1655027068","34479.937551965","35228.3419165189","35719.8102344149","36955.6361964793","37605.2280552923","38856.0634985051","40170.4189271218","40357.370757271","40892.2177249607","41036.7982641216","42344.6948333994","42994.3636536563","43782.1395544946","44960.7978629635","44956.3673344759","43591.2718827821","44380.1766327308","44556.0368071799","44337.5767700468","44209.7433543915","44676.6607293383","45052.3653466121","45457.8993419591","46078.9290873069","",
"Benin","BEN","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","520.404179984985","529.297338642614","503.599084051538","519.130656001452","544.427762856429","563.14643870332","572.453222994978","567.383628665014","577.305494894222","581.61037421383","581.235118982927","560.180110614056","583.056243099537","591.050532244085","596.657708163309","553.93664820434","545.143576619519","557.93222697945","550.42650351024","571.072511282984","593.619562439568","635.117493477248","631.527135880661","587.287625984981","616.037500535204","643.587476348851","638.749042846944","611.028136374675","613.231180279321","577.539883272228","609.345623847634","614.005294113839","610.55090183852","623.953655204789","615.120445612328","631.171223502581","638.076330738046","654.542811574812","660.631781368267","675.677481564767","694.243748862815","709.469362156737","720.168276979008","722.667195343064","732.335422521139","723.19995937719","730.275255572895","752.215214660521","767.031818766209","763.154718039225","757.695907409377","758.5775214493","773.182722624068","805.967160184979","833.640877658714","827.835457935714","837.199037667056","862.018414204566","",
"Burkina Faso","BFA","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","238.854562360996","245.198582661663","256.777174402718","250.117852037582","252.261831813637","257.91507753529","255.28153124882","273.300218245601","276.974204233536","277.774091102006","273.33151551225","272.410460368818","273.83695464318","270.182895737443","287.264561673976","290.373108648389","309.153850689155","304.242226817525","311.834178785847","316.437746591525","311.891569083801","317.607545255431","339.56329188478","332.260179910774","318.102431922458","336.411586413563","353.888019006108","343.970454997046","354.488976474489","352.677859553805","341.352617189917","362.478919951271","353.668786014067","356.128863354102","351.104458678869","361.121421967347","389.965445880457","403.216943616745","420.723454429533","439.299726397477","434.763330444212","450.452280722016","456.73413491079","478.304352301957","485.307404342803","511.967590461138","527.962349488741","541.268695046728","563.447065061273","562.841935400742","575.446452687734","595.393248086405","615.097084338391","631.612184358054","639.709550663991","645.369860579085","664.021671950732","685.753984722444","",
"Bangladesh","BGD","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","370.594171598507","382.004772248412","391.489183817685","378.559952378411","407.633123637666","401.533415961706","398.708156847372","378.448326715215","401.180445699144","394.309596310703","406.030709159679","375.826580987217","317.700603668735","323.039586875878","347.980629217091","327.100950492445","337.60268601685","337.713294109014","351.707710948965","358.34779039864","351.37610417876","366.666307385361","364.53821824281","368.69402600033","376.20766114278","378.487457982543","383.812479658935","387.755874242805","386.775599124052","387.672868830259","399.483940851139","403.753798979427","416.18052405083","426.309441333235","433.412344067767","445.918917287425","456.237710100466","466.77254422232","480.868833099348","493.255219870374","509.293434722413","525.072110746691","535.246723365611","550.862805736311","570.336735954774","598.617425921471","630.048396885577","666.401447207163","698.564892037526","725.766259956842","757.671757176894","797.411680369498","839.513687185166","879.582084762925","922.160959406253","971.641988030431","1029.57821239239","1093.04927364567","",
"Bulgaria","BGR","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","3223.80899433698","3370.52919134631","3439.02825941883","3548.13214904218","3660.06888345894","3758.34002719537","3917.51479507007","4148.59381224382","4597.47543157644","4498.55198005699","4162.81570433754","3849.18630135359","3607.79367407921","3582.85611598934","3660.40197671228","3781.90349197295","3828.24642187336","3809.68651346487","4078.68930627734","3756.75085295718","3955.27580157865","4186.92041902769","4532.8538693831","4804.48436237995","5152.41400784508","5561.16384273605","5988.77095056511","6476.05420316886","6914.39843478088","6709.52731467062","6843.26694975885","7019.17404574254","7062.13497737665","7136.84597816382","7309.4151151672","7611.55087800877","7966.88200882858","8331.1004680153","",
"Bahrain","BHR","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","21184.9828376582","19295.58521837","17290.8180745626","17906.0163509295","18304.5726983488","16926.3747444092","16571.426671545","17663.4657118083","18240.5661888089","17702.3755890439","17934.7430502843","19407.4436493518","20178.4651617478","22217.9133183868","21623.0156816472","21910.2398805927","22220.6829070812","22281.7951076819","22634.8884697697","22760.9869862741","22955.0934939164","22416.0818465599","22038.331198939","22058.7633255054","22144.4733857539","22066.0711292424","21796.0151385957","21838.0745654035","21563.650666009","20797.0052179038","20722.1038895508","20514.7563869279","20921.199710437","21799.6521659427","22390.6828514575","22436.2075318381","22291.4042492524","22111.4772372579","",
"Bahamas","BHS","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","17735.5388358685","18675.9437144821","19610.0348530087","20609.9708732118","21690.1160747607","22864.4639382534","23863.2356108452","25083.7501992555","26164.4716950013","27538.6356325644","25199.4213840012","24945.1353483925","23534.5191226923","24806.5160926048","20247.5181378747","16904.7578845885","17410.7457005906","18598.8714979792","20772.2050001057","25627.2138071153","26692.0725564159","23696.7255876803","24724.1116685289","25054.7450455744","28004.8670088827","28772.8465100067","28745.5725120599","29085.109644652","29253.7690435889","30692.4138853615","29673.8110325064","27912.4220124385","26338.449937149","25929.3525828591","26287.3097920014","27021.624005839","27801.6624207192","28060.567507502","29071.011944117","30775.2565242455","31587.5910287405","31856.0858381733","32080.3534626775","31013.6392107287","30629.7291711957","31023.0472151871","31180.6151182587","31031.2310041983","29758.249798553","28019.1486383366","27979.1149343739","27710.1019614772","28145.3586633412","27643.3952097958","27246.4848610022","27198.9076041403","26439.0536351685","26538.945633475","",
